0,0,65,0,4,2,1,6,4-
0,0,70,4,0,4,0,4,3
0,0,85,0,0,4,3,5,4
1,0,55,0,0,1,8,3,3
1,0,40,1,2,0,3,4,2
1,0,65,0,3,4,4,8,4-
0,0,67,0,0,1,3,3,4-
0,0,60,0,2,0,5,9,3
0,0,100,0,0,2,0,2,5-
0,0,100,1,0,2,3,1,4
0,0,100,1,0,2,0,5,5
0,0,86,0,0,1,10,1,4
0,0,50,1,0,6,0,1,4-
0,0,60,3,0,4,1,5,4
0,0,75,1,0,2,1,2,4
0,0,80,0,1,1,1,2,4
0,0,87,0,0,2,3,4,4
0,0,90,0,0,1,1,1,4
1,0,60,0,1,4,0,0,3
1,0,40,1,3,3,1,2,3
0,0,70,0,3,1,0,1,4
0,0,85,1,0,1,0,1,4
0,0,100,0,0,0,0,1,5
0,0,40,0,0,1,2,4,4
0,0,40,1,2,0,8,4,3
1,0,100,0,0,0,0,0,5
0,0,100,0,0,0,0,0,5
0,0,100,0,0,0,0,5,5
1,0,40,2,0,0,1,5,3
0,0,80,0,1,1,0,5,4
1,0,100,0,0,0,0,10,5
0,0,100,0,0,1,0,2,5
0,0,100,0,0,1,0,0,5-
0,0,40,0,2,0,0,0,2
0,0,100,0,0,2,0,5,5-
1,0,100,0,0,0,0,2,5
0,0,100,0,0,5,0,0,5-
0,0,100,0,0,3,0,4,5-
0,0,80,1,0,0,2,12,4-
1,0,0,0,2,0,0,4,2
1,0,60,1,1,4,9,0,4-
0,0,80,1,0,1,0,12,4
0,1,30,0,1,2,1,1,3
0,1,50,0,1,2,1,1,2
0,1,30,0,1,2,2,0,3
1,1,80,0,1,1,0,2,4
0,1,100,0,0,0,0,0,5
0,1,0,0,0,2,0,1,2
0,1,30,0,0,1,2,0,2
0,1,60,0,1,1,3,2,4
0,1,0,0,0,5,4,1,2
0,1,20,0,0,2,2,1,3-
1,1,20,0,0,2,0,6,2
1,1,15,0,0,0,0,11,2
0,1,100,0,0,0,2,0,5
0,1,30,0,0,1,5,3,3-
0,1,0,0,0,0,0,1,2
0,1,50,1,0,0,0,0,3
0,1,60,0,0,3,4,0,4
0,1,0,0,0,0,1,0,2
0,0,100,0,0,0,1,0,5
0,0,90,0,1,1,1,7,4
0,0,90,0,0,0,1,0,4
0,0,95,0,1,2,1,0,5-
0,0,50,0,2,6,0,5,3
0,0,60,0,0,4,5,0,3
0,0,70,0,0,2,1,4,4-
0,0,80,1,0,2,1,7,4-
0,0,85,0,0,1,2,2,4
0,0,90,0,0,0,1,1,4
0,0,95,0,0,3,1,2,5-
0,0,55,0,0,0,3,3,3
